cds,move,vix,gdp,debt
67.188,90.41,24.09,4.38,58.6
57.976,87.21,27.62,3.05,59.26
69.717,90.42,15.87,3.72,64.72
61.976,90.88,14.69,5.09,71.12
63.987,85.66,13.81,6.57,71.6
84.956,82.66,13.92,4.94,65.71
80.881,82.4,13.58,5.32,58.8
93.108,90.1,14.18,6.52,51.57
97.112,85.63,14.19,4.34,52.43
149.629,83.2,12.77,1.45,52.4
129.583,91.48,13.54,7.33,50.2
78.674,92.25,13.45,3.86,48.81
56.126,95.6,13.3,6.9,49.16
51.559,97.81,13.34,6.75,47.14
43.562,95.22,13.51,6.35,43.43
44.758,97.74,13.9,6.35,44.7
35.554,99.18,14.1,7.15,42.1
55.95,99.96,14.1,6.93,40.2
65.583,99.14,14.6,6.34,39.9
104.411,101.9,15.24,6.12,39.6
33.54,106.69,16.87,9.52,54.6
48.077,105.12,17.16,5.71,60.4
48.984,102.01,16.35,7.58,60.9
58.382,102.47,15.58,5.55,60.1
